market,code,name,group
A股,600519,贵州茅台,核心持仓
A股,300750,宁德时代,核心持仓
A股,601318,中国平安,核心持仓
A股,600036,招商银行,核心持仓
A股,600900,长江电力,核心持仓
A股,002594,比亚迪,观察池
A股,688981,中芯国际,观察池
A股,603501,韦尔股份,观察池
A股,300059,东方财富,观察池
A股,000858,五粮液,观察池
A股,601012,隆基绿能,观察池
A股,002415,海康威视,观察池
A股,510300,沪深300ETF,行业基准
A股,510050,上证50ETF,行业基准
A股,159915,创业板ETF,行业基准
A股,588000,科创50ETF,行业基准
A股,512880,证券ETF,行业基准
港股,00700,腾讯控股,核心持仓
港股,09988,阿里巴巴-W,核心持仓
港股,03690,美团-W,核心持仓
港股,00939,建设银行,核心持仓
港股,01810,小米集团-W,观察池
港股,01024,快手-W,观察池
港股,09618,京东集团-SW,观察池
港股,02015,理想汽车-W,观察池
港股,00981,中芯国际,观察池
港股,00388,香港交易所,观察池
港股,02800,盈富基金,行业基准
港股,03033,南方恒生科技,行业基准
港股,02822,南方A50,行业基准
美股,AAPL,苹果,核心持仓
美股,MSFT,微软,核心持仓
美股,NVDA,英伟达,核心持仓
美股,GOOGL,谷歌-A,核心持仓
美股,TSLA,特斯拉,观察池
美股,META,Meta平台,观察池
美股,AMZN,亚马逊,观察池
美股,AMD,超威半导体,观察池
美股,NFLX,奈飞,观察池
美股,BRK.B,伯克希尔-B,观察池
美股,SPY,标普500ETF,行业基准
美股,QQQ,纳指100ETF,行业基准
美股,IWM,罗素2000ETF,行业基准
美股,DIA,道指ETF,行业基准
虚拟货币,BTC/USDT,比特币,核心持仓
虚拟货币,ETH/USDT,以太坊,核心持仓
虚拟货币,SOL/USDT,索拉纳,观察池
虚拟货币,BNB/USDT,币安币,观察池
虚拟货币,XRP/USDT,瑞波币,观察池
虚拟货币,DOGE/USDT,狗狗币,观察池
虚拟货币,INDEX:TOTAL,加密货币总市值,行业基准
虚拟货币,INDEX:BTCD,BTC主导率,行业基准
期权,510050,上证50ETF,期权工具
期权,510300,沪深300ETF(华泰柏瑞),期权工具
期权,159919,沪深300ETF(嘉实),期权工具
期权,588000,科创50ETF(华夏),期权工具
期权,000300,沪深300指数,期权工具
期权,000852,中证1000指数,期权工具
期权,AAPL,苹果,期权工具
期权,NVDA,英伟达,期权工具
期权,TSLA,特斯拉,期权工具
期权,SPY,标普500ETF,期权工具
期权,BTC/USDT,比特币,期权工具
期权,ETH/USDT,以太坊,期权工具
虚拟货币,LTC/USDT,莱特币,观察池
虚拟货币,ADA/USDT,艾达币,观察池
虚拟货币,AVAX/USDT,雪崩币,观察池
虚拟货币,LINK/USDT,链环币,观察池
虚拟货币,DOT/USDT,波卡币,观察池
虚拟货币,UNI/USDT,独角兽币,观察池
虚拟货币,ATOM/USDT,阿童木币,观察池
虚拟货币,TRX/USDT,波场币,观察池
虚拟货币,SHIB/USDT,柴犬币,观察池
虚拟货币,POL/USDT,波卡2.0币,观察池
期货,RB0,螺纹钢主力,行业基准
期货,AU0,沪金主力,行业基准
期货,AG0,沪银主力,行业基准
期货,SC0,原油主力,行业基准
期货,CU0,沪铜主力,行业基准
期货,I0,铁矿石主力,行业基准
